timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-04-10 04:00:00,0.00002989,0.00015397,0.00002989,0.00011248,14446628.00000000,1586505599999,1624.02668223,51874,6818182.00000000,768.08412333,0
2020-04-10 08:00:00,0.00011247,0.00013760,0.00010690,0.00013500,7334191.00000000,1586519999999,902.28298193,33229,3795878.00000000,467.15469252,0
2020-04-10 12:00:00,0.00013499,0.00019455,0.00013380,0.00018181,28097954.00000000,1586534399999,4601.77632756,107812,13848188.00000000,2269.09315098,0
2020-04-10 16:00:00,0.00018126,0.00018199,0.00014522,0.00016278,12933705.00000000,1586548799999,2072.96245378,50525,6040495.00000000,969.09242504,0
2020-04-10 20:00:00,0.00016260,0.00016635,0.00013125,0.00013792,6347218.00000000,1586563199999,955.79448445,23274,2848430.00000000,430.05565191,0
2020-04-11 00:00:00,0.00013793,0.00015333,0.00012198,0.00014900,5971909.00000000,1586577599999,816.39905955,21296,2895075.00000000,396.75378564,0
2020-04-11 04:00:00,0.00014900,0.00015280,0.00012368,0.00014638,7292141.00000000,1586591999999,1006.30618282,24282,3891504.00000000,539.88551312,0
2020-04-11 08:00:00,0.00014637,0.00014753,0.00012847,0.00013647,4524990.00000000,1586606399999,625.71145326,22399,2047003.00000000,283.85295719,0
2020-04-11 12:00:00,0.00013604,0.00013998,0.00012789,0.00013150,3886800.00000000,1586620799999,518.92191272,16281,1932099.00000000,258.63514622,0
2020-04-11 16:00:00,0.00013110,0.00013500,0.00011705,0.00011762,3210833.00000000,1586635199999,404.79291037,12748,1132668.00000000,142.79764007,0
2020-04-11 20:00:00,0.00011763,0.00012198,0.00011151,0.00011455,4335256.00000000,1586649599999,503.92847957,16589,1940990.00000000,225.85864839,0
2020-04-12 00:00:00,0.00011467,0.00012442,0.00011042,0.00012400,3657539.00000000,1586663999999,426.14859884,14135,2242275.00000000,262.83700089,0
2020-04-12 04:00:00,0.00012400,0.00013120,0.00012100,0.00012549,3437797.00000000,1586678399999,431.82550931,13911,1729576.00000000,217.60561039,0
2020-04-12 08:00:00,0.00012548,0.00012579,0.00011400,0.00011648,2560090.00000000,1586692799999,302.37208157,11151,1095674.00000000,129.21506787,0
2020-04-12 12:00:00,0.00011650,0.00012200,0.00011261,0.00011909,2567616.00000000,1586707199999,300.53963214,11517,1174651.00000000,137.76426833,0
2020-04-12 16:00:00,0.00011908,0.00012855,0.00011464,0.00012318,4709461.00000000,1586721599999,577.55451493,20956,2394963.00000000,294.00796170,0
2020-04-12 20:00:00,0.00012286,0.00013550,0.00012160,0.00012726,5051578.00000000,1586735999999,660.96055421,24105,2404240.00000000,315.40843784,0
2020-04-13 00:00:00,0.00012772,0.00012822,0.00012040,0.00012143,1965756.00000000,1586750399999,242.73603250,8996,769700.00000000,95.25580202,0
2020-04-13 04:00:00,0.00012143,0.00012350,0.00011500,0.00011853,1706788.00000000,1586764799999,202.15822805,9108,688383.00000000,81.80632040,0
2020-04-13 08:00:00,0.00011832,0.00012535,0.00011800,0.00012271,1969963.00000000,1586779199999,241.98880407,7649,882219.00000000,108.62814891,0
2020-04-13 12:00:00,0.00012246,0.00012399,0.00011701,0.00012240,2116776.00000000,1586793599999,253.46040303,9406,1002997.00000000,120.40583769,0
2020-04-13 16:00:00,0.00012239,0.00012419,0.00011850,0.00011924,1968167.00000000,1586807999999,238.66738637,8305,1065659.00000000,129.68771388,0
2020-04-13 20:00:00,0.00011925,0.00011966,0.00011300,0.00011375,1223074.00000000,1586822399999,142.35042235,6331,432716.00000000,50.39221629,0
2020-04-14 00:00:00,0.00011357,0.00011650,0.00011182,0.00011277,880687.00000000,1586836799999,100.28955045,4338,400969.00000000,45.72434368,0
2020-04-14 04:00:00,0.00011277,0.00011350,0.00010355,0.00010546,2112499.00000000,1586851199999,230.55528059,9508,755384.00000000,81.75139098,0
2020-04-14 08:00:00,0.00010542,0.00010975,0.00010441,0.00010699,1479223.00000000,1586865599999,157.45628748,6676,649646.00000000,69.30594061,0
2020-04-14 12:00:00,0.00010682,0.00010708,0.00010024,0.00010374,2404707.00000000,1586879999999,247.14383809,9716,1087206.00000000,111.72890886,0
